@relation 'fuerza'
@attribute Distancia real
@attribute Fuerza real
@data
13.683075, 2361.2041015625
25.032246, 3529.2900390625
19.761961, 3020.67724609375
86.018974, 7420.6337890625
70.99813, 6608.7421875
227.07475, 13999.359375
153.42769, 10777.947265625
113.62894, 8577.3583984375
108.88583, 8412.53515625
101.92215, 8087.8349609375
95.44687, 7959.13330078125
147.4077, 10392.7666015625
139.6186, 10109.7978515625
57.75171, 6167.6552734375
53.548378, 5948.966796875
163.27618, 10851.236328125
172.69017, 10862.2265625
180.89304, 11210.53125
184.09714, 11744.0244140625
